Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
19;Karma's World Music Videos;¡Entra en el mundo musical de Karma mientras sacude el micrófono, y sus rizos, por esta divertida y funky reproducción llena de rimas y el poder de la positividad!;Kids' TV;Asiahn Bryant;;;June 16, 2022;2022;TV-Y;;2 SEASONS;
20;Love & Anarchy;Un consultor casado y un joven técnico de TI inician un juego coqueto que desafía las normas sociales, y las lleva a reevaluar toda su vida.;International TV Shows, Romantic TV Shows, TV Comedies;Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa Östrand, Ejke Blomberg, Lars Väringer;;Sweden;June 16, 2022;2022;TV-MA;;2 SEASONS;
21;Sing, Dance, Act: Kabuki featuring Toma Ikuta;Drama, patrimonio, alma;;;;;;;;;;
22;Snoop Dogg's F*cn Around Comedy Special;Snoop Dogg organiza una noche de música y stand-up mientras da la bienvenida a sus amigos, incluidos los legendarios comediantes Katt Williams y Mike Epps, al escenario.;Stand-Up Comedy;Snoop Dogg, DJ Pooh, Katt Williams, DeRay Davis, Melanie Comarcho, Guy Torry, Donnell Rawlings, Mike Epps;Ryan Polito;;June 16, 2022;2022;TV-MA;67;;
23;Speed Kills;En la década de 1980, un corredor de lancha de motor acosado ayuda a mover los drogas de millones de dólares a Miami antes de atraer la ira de la DEA y la mafia.;Dramas;John Travolta, Katheryn Winnick, Jennifer Esposito, Michael Weston, Jordi Mollá, Amaury Nolasco, Matthew Modine, Tom Sizemore, James Remar, Kellan Lutz;Jodi Scurfield;;June 16, 2022;2018;R;102;;4
24;Surviving R. Kelly;En esta serie documental sobre la historia enredada de las acusaciones contra el músico R. Kelly, las mujeres dan relatos detallados de abuso sexual y mental.;Crime TV Shows, Docuseries;;;United States;June 16, 2022;2019;TV-MA;;1 SEASON;7.4
25;Surviving R. Kelly Part II: The Reckoning;A medida que más mujeres se presentan con acusaciones desgarrador contra R. Kelly, su caso criminal gana impulso en este seguimiento de las poderosas docuserías.;Crime TV Shows, Docuseries;;;United States;June 16, 2022;2020;TV-MA;;1 SEASON;7.3
26;Surviving R. Kelly: The Impact;Desde protestas públicas hasta movimientos virales, las secuelas de las docuserías de R. Kelly se explora en este especial con periodistas y expertos.;Documentaries;;;United States;June 16, 2022;2019;TV-14;85;;5.8
27;Won't You Be My Neighbor?;Cuando Fred Rogers encontró su vocación en la televisión, su show infantil sin pretensiones fue amado por generaciones por su amabilidad, empatía y comprensión.;Documentaries;Fred Rogers;Morgan Neville;;June 16, 2022;2018;PG-13;95;;8.2
28;Blue Exorcist;Decidido a tirar la maldición de ser el hijo ilegítimo de Satanás, Rin ingresa a la verdadera academia Cross para convertirse en exorcista, al igual que su mentor.;Anime Series, International TV Shows;Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa, Kazuya Nakai, Koji Yusa, Yuki Kaji, Eri Kitamura, Ayahi Takagaki, Rina Satou, Daisuke Ono, Ryotaro Okiayu, Tetsuya Kakihara, Hiroshi Kamiya, Keiji Fujiwara, Hiroaki Hirata, Jin Urayama, Katsuyuki Konishi, Kisho Taniyama, M?A?O, Kazuhiro Yamaji, Hideyuki Tanaka, Masaki Terasoma, Naomi Shindo;;Japan;June 15, 2022;2017;TV-MA;;1 SEASON;7.4
29;Centauro;Para despejar la deuda de la madre de su hijo con un cartel, un corredor de superbike se convierte en un mensajero de drogas, arriesgando sus posibilidades de ser profesional y poner en peligro su propia vida.;Action & Adventure, International Movies;Àlex Monner, Begoña Vargas, Carlos Bardem, Édgar Vittorino, Patricia Vico, Pedro Casablanc;Daniel Calparsoro;;June 15, 2022;2022;TV-MA;91;;
30;Front Cover;Un estilista de Nueva York trabaja con un actor chino prometedor, que comienza una relación llena de baches que les da nuevas perspectivas sobre la vida, el trabajo y el amor.;Comedies, Dramas, Independent Movies;Jake Choi, James Chen, Jennifer Neala Page, Sonia Villani, Elizabeth Sung, Li Jun Li, Peter Benson,g Lee;Ray Yeung;;June 15, 2022;2015;TV-MA;87;;6.6
31;God's Favorite Idiot;El dulce Clark parece que la última persona que Dios aprovechaba para luchar contra el mal. Necesitará su enamoramiento de su oficina y buenos amigos para ayudar a correr la voz y salvar al mundo.;TV Comedies, TV Sci-Fi & Fantasy;Melissa McCarthy, Ben Falcone, Leslie Bibb, Usman Ally, Ana Scotney, Chris Sandiford, Kevin Dunn, Steve Mallory, Yanic Truesdale, Leon Ford;;;June 15, 2022;2022;TV-MA;;1 SEASON;
32;Heart Parade;Para salvar su trabajo, una mujer con mentalidad de carrera, con un perro, debe viajar a Kraków, donde conoce a un viudo encantador, su hijo y su mejor amiga de cuatro patas.;Children & Family Movies, Comedies, International Movies;Anna Próchniak, Micha? Czernecki, Iwo Rajski, Monika Krzywkowska, Kamil Szeptycki, Piotr Rogucki, Grzegorz Warcho?, Vasyl Vasylyk, Katarzyna Zieli?ska, Maria Czerepi?ska;Filip Zylber;;June 15, 2022;2022;TV-PG;108;;
33;Home2Home;En este documental, un joven con un gusto por las bicicletas de aventura 27,000 millas en todo el mundo y se encuentra con personas de todos los ámbitos de la vida.;Documentaries, International Movies, Sports Movies;;Dennis Kailing;Germany;June 15, 2022;2020;TV-MA;111;;8.5
34;Iron Chef: Quest for an Iron Legend;¡El chef de hierro está de vuelta! En esta competencia de cocina de siguiente nivel, las estrellas culinarias compiten para ingresar a un final épico y competir por el título de Legend de Iron.;Reality TV;Alton Brown, Kristen Kish, Mark Dacascos;;;June 15, 2022;2022;TV-G;;1 SEASON;
35;Maldivas;Para investigar un misterio, una mujer joven se muda a una elegante comunidad de condominios, donde entra en contacto con sus peculiar y sospechosos residentes.;International TV Shows, TV Comedies, TV Dramas;Bruna Marquezine, Manu Gavassi, Carol Castro, Natalia Klein, Sheron Menezzes, Vannessa Gerbelli, Ângela Vieira;;Brazil;June 15, 2022;2022;TV-MA;;1 SEASON;7.7
36;Material;Un hijo obediente debe ocultar su búsqueda de una comedia de pie de su firme padre, quien espera que herede su tienda y defienda sus creencias musulmanas.;Comedies, Dramas, International Movies;Vincent Ebrahim, Riaad Moosa, Joey Rasdien, Denise Newman, Krijay Govender, Nik Rabinowitz, Zakeeya Patel, Carishma Basday, Royston Stoffels, Mel Miller;Craig Freimond;;June 15, 2022;2012;TV-14;94;;7.2
37;The Wrath of God;Convencidos de las trágicas muertes de sus seres queridos fueron orquestadas por un famoso novelista para el que trabajó, Luciana recurre a un periodista para exponer su verdad.;Dramas, International Movies, Thrillers;Diego Peretti, Juanujín, Macarena Achaga, Mónica Antonópulos, Guillermo Arengo, Romina Pinto, Pedro Merlo, Santiago Achaga, Ornela D'elia, Juanita Reale;Sebastián Schindel;;June 15, 2022;2022;TV-MA;98;;
38;Valor;Después de una misión fallida en Somalia, los dos miembros sobrevivientes de una tripulación de helicópteros del ejército de los EE. UU. Se ven envueltos en una conspiración indecisa.;TV Action & Adventure, TV Dramas;Christina Ochoa, Matt Barr, Corbin Reid, Charlie Barnett, W. Tré Davis;;United States;June 15, 2022;2017;TV-14;;1 SEASON;5.9
39;Web of Make Believe: Death, Lies and the Internet;Conspiración. Fraude. Violencia. Asesinato. Lo que comienza virtual puede ser real muy rápido, y cuando la web está en todo el mundo, también lo son las consecuencias.;Crime TV Shows, Docuseries;;;;June 15, 2022;2022;TV-MA;;1 SEASON;
40;When My Love Blooms;Un hombre y una mujer que estaban enamorados en sus 20 años se encuentran nuevamente a los 40 años, y descubren que ambos se han convertido en personas diferentes durante sus años separados.;International TV Shows, Romantic TV Shows, TV Dramas;Yoo Ji-tae, Lee Bo-young, Park Jin-young, Jeon So-nee;;South Korea;June 15, 2022;2020;TV-14;;1 SEASON;7.6
41;Hakkunde;Un graduado perpetuamente desempleado deja desesperadamente su ciudad para una oportunidad potencial hasta que un obstáculo amenaza con descarrilar su oportunidad en una carrera.;Comedies, Dramas, Independent Movies;Frank Donga, Rahama Sadau, Maryam Booth, Toyin Abraham, Ibrahim Daddy, Bukky Ajayi, Ahaji Issa Bello, Hadiza Solja, Ali Nuhu, Tunbosun Aiyedehin;Oluseyi Asurf;;June 15, 2022;2017;TV-14;93;;6.2
42;Halftime;La superestrella global Jennifer López reflexiona sobre su carrera multifacética y la presión de la vida en el centro de atención en este documental íntimo.;Documentaries, Music & Musicals;Jennifer Lopez;Amanda Micheli;;June 14, 2022;2022;TV-MA;96;;
43;Jane Fonda & Lily Tomlin: Ladies Night Live;Jane Fonda y Lily Tomlin organizan una celebración icónica de mujeres en comedia con sets de Cristela Alonzo, Margaret Cho, Michelle Buteau y más.;Stand-Up Comedy;Jane Fonda, Lily Tomlin, Heather McMahan, Michelle Buteau, Cristela Alonzo, Iliza Shlesinger, Tracey Ashley, Anjelah Johnson-Reyes, Margaret Cho, Eliot Glazer;Ryan Polito;;June 14, 2022;2022;TV-MA;68;;
44;The Mole;En este espectáculo de competencia, los concursantes intentan ganar $ 1 millón por un bote que solo uno de ellos ganará, mientras que un jugador los sabotea en secreto.;Reality TV, TV Action & Adventure, TV Mysteries;Anderson Cooper;;United States;June 14, 2022;2004;TV-14;;4 SEASONS;7.3
45;Charlie's Colorforms City;Charlie crea historias divertidas usando diferentes formas, ¡y necesita su ayuda! Despegar para las aventuras en el espacio exterior, el salvaje oeste, y en casa.;Kids' TV;Jacob Soley, Saara Chaudry, Tyler Barish, Zoe Hatz, Julie Lemieux, Joseph Motiki, Shoshana Sperling, Adrianna Di Liello, Deann Degruijter, Stacey DePass;;United States;June 13, 2022;2022;TV-Y;;6 SEASONS;7
46;Lunana: A Yak in the Classroom;Un joven con el sueño de mudarse a Australia se encuentra enseñando un aula de niños ansiosos, y un yak, en una remota aldea butanesa.;Children & Family Movies, Dramas, International Movies;Sherab Dorji, Ugyen Norbu Lhendup, Kelden Lhamo Gurung;Pawo Choyning Dorji;;June 13, 2022;2019;TV-14;110;;7.5
47;Pete Davidson Presents: The Best Friends;Pete Davidson bromea sobre rumores, paseos en avión gratis y su año muy extraño mientras invita a sus amigos en el escenario para una noche de comedia y música de pie.;Stand-Up Comedy;Pete Davidson, Machine Gun Kelly, Big Wet, Neko White, Giulio Gallarotti, Carly Aquilino, Dave Sirus, Joey Gay, Jordan Rock;Jason Orley;;June 13, 2022;2022;TV-MA;58;;4
48;Who We Are: A Chronicle of Racism in America;A través de una poderosa conferencia y una película de archivo, el abogado de derechos civiles Jeffery Robinson establece una línea de tiempo aleccionadora de racismo anti-negro en los Estados Unidos.;Documentaries;Jeffery Robinson;Emily Kunstler, Sarah Kunstler;;June 13, 2022;2022;PG-13;117;;5.4
49;CBI 5: The Brain;Cuando la muerte repentina de un líder político establece un caso desconcertante para la policía, depende del detective as Sethurama Iyer desentrañar el misterio.;Dramas, International Movies, Thrillers;Mammootty, Soubin Shahir, Jagathy Sreekumar, Mukesh, Saikumar, Anoop Menon, Renji Panicker, Asha Sarath, Ansiba Hassan, Dileesh Pothan;K Madhu;;June 13, 2022;2022;TV-14;162;;6.2
50;Amy Schumer Presents: Parental Advisory;Amy Schumer da la bienvenida a sus comediantes favoritos al escenario en este especial sobre la vida familiar, desde las presiones de la crianza hasta las alegrías del nuevo matrimonio.;Stand-Up Comedy;Amy Schumer, Ron Funches, Jaye McBride, Christina Pazsitzky, Rachel Feinstein, Chris Distefano, Lil Rel Howery;Ryan Polito;;June 13, 2022;2022;TV-MA;58;;3.3
51;Breaded Life;Después de que todos en su vida lo olvidan misteriosamente, un joven rico debe buscar la ayuda del único que lo reconoce: el vendedor local de pan.;Dramas, International Movies;Bimbo Ademoye, Timini Egbuson, Tina Mba, Bisola Aiyeola, Funny Bone, MC Lively, Bolanle Ninalowo, Jide Kosoko, Lateef Adedimeji, Adebola Adeyela;Biodun Stephen;;June 13, 2022;2021;TV-MA;121;;6.6
52;Chickenhare and the Hamster of Darkness;Un valiente explorador de animales jóvenes se une con dos amigos de confianza para encontrar un artefacto poderoso antes de que su tío codicioso pueda poner sus patas en él.;Children & Family Movies, Comedies;Jordan Tartakow, Joe Ochman, Laila Berzins, Danny Fehsenfeld;Benjamin Mousquet, Ben Stassen;;June 13, 2022;2022;TV-Y7;92;;6.2
53;Closet Monster;El Oscar adolescente está desesperado por salir, salir de su casa, fuera de su cabeza, pero no está seguro de cómo estar en un mundo donde la libertad no se siente segura.;Dramas, Independent Movies, LGBTQ Movies;Connor Jessup, Aaron Abrams, Joanne Kelly, Aliocha Schneider, Sofia Banzhaf, Jack Fulton, Mary Walsh, James Hawksley, Isabella Rossellini;Stephen Dunn;;June 13, 2022;2015;TV-MA;90;;7.1
54;Dirty Daddy: The Bob Saget Tribute;Los amigos y familiares de Bob Saget honran al difunto comediante durante una noche de risas y música con Jim Carrey, Chris Rock, Jeff Ross, John Stamos y más.;Comedies;John Stamos, Jeff Ross, Chris Rock, Jim Carrey, John Mayer, Darren Criss, Kelly Rizzo-Saget, Mike Binder, Jackson Browne, Seth Green;Mike Binder;;June 13, 2022;2022;TV-MA;84;;6.7
55;Don;Buscando un sentido de propósito, un estudiante universitario rebelde navega por la vida en el campus mientras soporta a un padre controlador y un profesor disciplinario.;Comedies, Dramas, International Movies;Sivakarthikeyan, S. J. Suryah, Samuthirakani, Priyanka Arul Mohan, Soori, Munishkanth, Kaali Venkat, Bala Saravanan, Sivaangi Krishnakumar, Gautham Vasudev Menon;Cibi Chakaravarthi;;June 13, 2022;2022;TV-PG;163;;7.4
56;First Kill;Enamorarse es complicado para los adolescentes Juliette y Calliope: uno es un vampiro, el otro es un cazador de vampiros, y ambos están listos para hacer su primera muerte.;Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy;Sarah Catherine Hook, Imani Lewis, Elizabeth Mitchell, Aubin Wise, Gracie Dzienny, Dominic Goodman, Phillip Mullings Jr., Jason R. Moore;;United States;June 10, 2022;2022;TV-MA;;1 SEASON;6
57;Intimacy;La carrera de un político en ascenso se ve amenazada cuando un video subrepticiamente grabado de su vida sexual se filtra al público.;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Itziar Ituño, Patricia López Arnaiz, Verónica Echegui, Ana Wagener, Emma Suárez, Yune Nogueiras;;Spain;June 10, 2022;2022;TV-MA;;1 SEASON;6.1
58;Peaky Blinders;Una pandilla notoria en 1919 Birmingham, Inglaterra, está dirigida por el feroz Tommy Shelby, un jefe del crimen, se destinó a ascender en el mundo sin importar el costo.;British TV Shows, Crime TV Shows, International TV Shows;Cillian Murphy, Sam Neill, Helen McCrory, Paul Anderson, Iddo Goldberg, Annabelle Wallis, Sophie Rundle, Tom Hardy, Joe Cole, Ned Dennehy, Andy Nyman, Charlie Creed-Miles, Charlotte Riley, David Dawson, Jeffrey Postlethwaite, Matthew Postlethwaite, Ian Peck, Tony Pitts, Aidan Gillen, Adrien Brody, Charlie Murphy, Aimee-Ffion Edwards;;United Kingdom;June 10, 2022;2022;TV-MA;;6 SEASONS;8.9
59;The Bling Lagosians;Con una matriarca empeñada en tener una lujosa fiesta de cumpleaños 51, la deuda de su familia está a punto de exposición, amenazando sus negocios y legado.;Dramas, International Movies;Gbenga Titiloye, Elvina Ibru, Sharon Ooja, Osas Ighodaro, Monalisa Chinda, Toyin Abraham, Bisola Aiyeola, Oladele Ogunlana, Jimmy Odukoya, Alexx Ekubo;Bolanle Austen-Peters;;June 10, 2022;2019;TV-14;99;;6.2
60;Trees of Peace;Cuatro mujeres de diferentes orígenes forjan una hermandad inquebrantable mientras están atrapadas y escondidas durante el genocidio en Ruanda. Inspirado en hechos reales.;Dramas, Independent Movies;Eliane Umuhire, Charmaine Bingwa, Ella Cannon, Bola Koleosho, Tongayi Chirisa;Alanna Brown;;June 10, 2022;2022;TV-MA;98;;8.7
61;Vice;Con su formidable esposa Lynne a su lado, Dick Cheney gana poder y manipula astutamente la vicepresidencia de los Estados Unidos con explosivas consecuencias globales.;Comedies, Dramas;Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Tyler Perry, Alison Pill, Lily Rabe, Eddie Marsan, Justin Kirk, LisaGay Hamilton;Adam McKay;;June 10, 2022;2018;R;132;;7.3
62;2020;Buscando venganza personal, un investigador se encubierta para capturar a un narcotraficante buscado, pero su misión se complica por los sentimientos no deseados.;Crime TV Shows, International TV Shows, TV Dramas;Nadine Nassib Njeim, Kosai Khauli, Fadi Abi Samra, Carmen Lebbos, Randa Kaadi, Fady Ibrahim, Youssef Haddad, Raymonde Saade Azar, Jenah Fakhoury, Pierre Dagher;;Lebanon;June 9, 2022;2021;TV-14;;1 SEASON;7.8
63;Al Hayba;En una aldea junto a la frontera de Líbano-Siria, la cabeza de un clan de membrillo de armas se enfrenta con conflictos familiares, luchas de poder y amor complicado.;Crime TV Shows, International TV Shows, TV Dramas;Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef;;Lebanon;June 9, 2022;2020;TV-14;;4 SEASONS;7.4
64;Ben & Jody;Dos mejores amigos se unen con un grupo de aldeanos para luchar contra los traicioneros madrugadores ilegales que intentan quitar sus tierras.;Action & Adventure, Dramas, International Movies;Chicco Jerikho, Rio Dewanto, Hana Malasan, Aghniny Haque, Yayan Ruhian, Muzakki Ramdhan, Reza Hilman, Yayu Unru, Arswendi Bening Swara, Luna Maya;Angga Dwimas Sasongko;;June 9, 2022;2022;TV-MA;114;;7.9
65;Brahms: The Boy II;Inmediatamente después del trauma, una pareja se traslada a una finca remota, donde su hijo pequeño se une a una muñeca que es muy realista y posiblemente muy malvada.;Horror Movies;Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson, Daphne Hoskins, Keoni Rebeiro, Joely Collins, Oliver Rice, Anjali Jay, Natalie Moon;William Brent Bell;;June 9, 2022;2020;PG-13;87;;4.5
66;Bureau of Magical Things;Cuando una adolescente descubre accidentalmente un reino encantado, se convierte en la única capaz de unir los mundos humanos y mágicos, y salvar a ambos del mal.;International TV Shows, Kids' TV, TV Mysteries;Kimie Tsukakoshi, Elizabeth Cullen, Mia Milnes, Julian Cullen, Rainbow Wedell, Jamie Carter, Christopher Sommers;;Australia, Germany;June 9, 2022;2021;TV-G;;2 SEASONS;6.6
67;Hikaru Utada Live Sessions from AIR Studios;"Vea un vistazo íntimo a las sesiones en vivo del nuevo álbum ""Bad Mode"" de Hikaru Utada, grabado en el legendario Air Studios en Londres.";International Movies, Music & Musicals;Hikaru Utada;David Barnard;;June 9, 2022;2022;TV-14;56;;
68;Rhythm + Flow France;Los raperos franceses Freestyle, luchan y escriben su camino hacia un premio de 100,000 euros que cambian el juego en una serie de competencias de música juzgada por Niska, Shay y Sch.;International TV Shows, Reality TV;Niska, Shay, SCH;;France;June 9, 2022;2022;TV-MA;;1 SEASON;
69;Stand Out: An LGBTQ+ Celebration;LGBTQ+ Comedia Legends y Red-Hot Rising Stars comparten el escenario para una noche histórica de risas y alegría queer organizada por Billy Eichner.;Stand-Up Comedy;Sandra Bernhard, Margaret Cho, Eddie Izzard, Tig Notaro, Rosie O'Donnell, Wanda Sykes, James Adomian, Joel Kim Booster, Guy Branum, Fortune Feimster;Page Hurwitz, Linda Mendoza;;June 9, 2022;2022;TV-MA;96;;5.5
70;Baby Fever;Cuando un médico de fertilidad se insementa borracha con el esperma de su ex novio, lucha para explicar su embarazo y recuperar su amor perdido.;International TV Shows, TV Comedies, TV Dramas;Josephine Park, Olivia Joof, Simon Sears, Emil Prenter, Mikael Birkkjær, Charlotte Munck, Tammi Øst;;Denmark;June 8, 2022;2022;TV-MA;;1 SEASON;5.9
71;El paseo 6;No dispuesto a dejar que su hija asista a un viaje de secundaria sin supervisión, un padre protector y su carismática suegra aparecen para estrellar la fiesta.;Comedies, International Movies;Amparo Grisales, Jhon Álex Toro, Cecilia Navia, Michell Orozco, Cristian Duque, Andrés de la Mora, Rafaella Chavez, Megumi Hasebe;Rodrigo Triana;;June 8, 2022;2021;TV-14;98;;3.2
72;Gladbeck: The Hostage Crisis;En agosto de 1988, dos ladrones de bancos armados mantienen a raya a la policía alemana durante 54 horas durante un drama de toma de rehenes que termina en un tiroteo y tres muertes.;Documentaries, International Movies;;Volker Heise;Germany;June 8, 2022;2022;TV-MA;92;;7.5
73;Hustle;Cuando un explorador de baloncesto de su suerte encuentra una superestrella potencial en España, se propone demostrar que ambos tienen lo que se necesita para hacerlo en la NBA.;Comedies, Dramas, Sports Movies;Adam Sandler, Juancho Hernangómez, Queen Latifah, Ben Foster, Kenny Smith, Robert Duvall, Jordan Elizabeth Hull, María Botto, Heidi Gardner, Ainhoa Pillet;Jeremiah Zagar;;June 8, 2022;2022;R;118;;7.4
